# cohort: backtest-2022
# ena_query: study_accession="PRJNA900623" AND instrument_platform="ILLUMINA" AND library_strategy="WGS" AND collection_date>=2022-01-01
# runs: 25
run_accession	sample_accession	study_accession	country	collection_date	first_public	instrument_platform	library_strategy	read_count
SRR22265444	SAMN31697739	PRJNA900623	Haiti	2022-10-03	2022-12-17	ILLUMINA	WGS	401353
SRR22265443	SAMN31697740	PRJNA900623	Haiti	2022-10-04	2022-12-17	ILLUMINA	WGS	210018
SRR24003614	SAMN33964162	PRJNA900623	Haiti: Port au Prince	2022-11-09	2024-04-28	ILLUMINA	WGS	6306294
SRR24003587	SAMN33964169	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	4602574
SRR24003588	SAMN33964168	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	7339471
SRR24003589	SAMN33964167	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	5348314
SRR24003590	SAMN33964166	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	6480748
SRR24003591	SAMN33964165	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	7414019
SRR24003592	SAMN33964164	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	2149247
SRR24003603	SAMN33964163	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	7921956
SRR24003623	SAMN33964171	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	3318051
SRR24003624	SAMN33964170	PRJNA900623	Haiti: Port au Prince	2022-11-10	2024-04-28	ILLUMINA	WGS	1314649
SRR24003612	SAMN33964181	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	1614703
SRR24003613	SAMN33964180	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	4417334
SRR24003615	SAMN33964179	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3464884
SRR24003616	SAMN33964178	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	4798816
SRR24003617	SAMN33964177	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	1258922
SRR24003618	SAMN33964176	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	1349979
SRR24003619	SAMN33964175	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3573881
SRR24003620	SAMN33964174	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	5710535
SRR24003621	SAMN33964173	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3040952
SRR24003622	SAMN33964172	PRJNA900623	Haiti: Port au Prince	2022-11-15	2024-04-28	ILLUMINA	WGS	3967369
SRR24003602	SAMN33964190	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	17653174
SRR24003604	SAMN33964189	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	6165458
SRR24003605	SAMN33964188	PRJNA900623	Haiti: Port au Prince	2022-11-16	2024-04-28	ILLUMINA	WGS	3209032
