# cohort: haiti-baseline
# ena_query: tax_eq(666) AND country="Haiti*" AND instrument_platform="ILLUMINA" AND library_strategy="WGS"
# runs: 432
run_accession	sample_accession	study_accession	country	collection_date	first_public	instrument_platform	library_strategy	read_count
SRR23510629	SAMN33339975	PRJNA266293	Haiti		2023-02-27	ILLUMINA	WGS	647331
SRR23510635	SAMN33339976	PRJNA266293	Haiti		2023-02-27	ILLUMINA	WGS	419486
SRR11194080	SAMN14222216	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1715455
SRR11194081	SAMN14222258	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1679628
SRR11194082	SAMN14222260	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1745913
SRR11194083	SAMN14222225	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1733034
SRR11194084	SAMN14222221	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1718039
SRR11194085	SAMN14222229	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	922486
SRR11194086	SAMN14222232	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	982664
SRR11194087	SAMN14222248	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1798257
SRR11194088	SAMN14222252	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1636889
SRR11194089	SAMN14222255	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1438851
SRR11194090	SAMN14222344	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1435995
SRR11194091	SAMN14222336	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1467255
SRR11194092	SAMN14222340	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	999893
SRR11194093	SAMN14222342	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	828166
SRR11194094	SAMN14222348	PRJNA590944	Haiti	2010	2020-02-28	ILLUMINA	WGS	1753031
SRR771229	SAMN01940979	PRJNA188139	Haiti	2010-10-19	2013-07-29	ILLUMINA	WGS	2288023
SRR771360	SAMN01940979	PRJNA188139	Haiti	2010-10-19	2013-07-29	ILLUMINA	WGS	8262115
SRR773656	SAMN01941004	PRJNA188139	Haiti: Centre	2010-10-19	2013-07-29	ILLUMINA	WGS	9162718
SRR770778	SAMN01940976	PRJNA188139	Haiti	2010-10-20	2013-07-29	ILLUMINA	WGS	3393223
SRR770779	SAMN01940976	PRJNA188139	Haiti	2010-10-20	2013-07-29	ILLUMINA	WGS	31762717
SRR771214	SAMN01940977	PRJNA188139	Haiti	2010-10-20	2013-07-29	ILLUMINA	WGS	6557094
SRR771220	SAMN01940978	PRJNA188139	Haiti	2010-10-20	2013-07-29	ILLUMINA	WGS	2239602
SRR771222	SAMN01940978	PRJNA188139	Haiti	2010-10-20	2013-07-29	ILLUMINA	WGS	4541302
SRR771582	SAMN01940980	PRJNA188139	Haiti	2010-10-20	2013-07-29	ILLUMINA	WGS	8466508
SRR771586	SAMN01940980	PRJNA188139	Haiti	2010-10-20	2013-07-29	ILLUMINA	WGS	2473030
SRR771645	SAMN01940981	PRJNA188139	Haiti	2010-10-21	2013-07-29	ILLUMINA	WGS	4649924
SRR771655	SAMN01940981	PRJNA188139	Haiti	2010-10-21	2013-07-29	ILLUMINA	WGS	2422513
SRR772254	SAMN01940982	PRJNA188139	Haiti	2010-10-21	2013-07-29	ILLUMINA	WGS	7241327
SRR772255	SAMN01940982	PRJNA188139	Haiti	2010-10-21	2013-07-29	ILLUMINA	WGS	4510360
SRR773657	SAMN01941006	PRJNA188139	Haiti: Ouest	2010-11-03	2013-07-29	ILLUMINA	WGS	11436761
SRR773658	SAMN01941005	PRJNA188139	Haiti: Ouest	2010-11-03	2013-07-29	ILLUMINA	WGS	12218543
SRR772256	SAMN01940983	PRJNA188139	Haiti	2010-11-09	2013-07-29	ILLUMINA	WGS	6056595
SRR773660	SAMN01941007	PRJNA188139	Haiti: Sud	2010-11-27	2013-07-29	ILLUMINA	WGS	10906849
SRR4039820	SAMN05590438	PRJNA339415	Haiti: Centre	2011	2016-08-24	ILLUMINA	WGS	12268415
SRR773661	SAMN01941008	PRJNA188139	Haiti: Nord-Ouest	2011-01-26	2013-07-29	ILLUMINA	WGS	353274
SRR775129	SAMN01941008	PRJNA188139	Haiti: Nord-Ouest	2011-01-26	2013-07-29	ILLUMINA	WGS	14377248
SRR772892	SAMN01940984	PRJNA188139	Haiti	2011-02-12	2013-07-29	ILLUMINA	WGS	7819289
SRR772893	SAMN01940985	PRJNA188139	Haiti	2011-06-06	2013-07-29	ILLUMINA	WGS	7084841
SRR773027	SAMN01940986	PRJNA188139	Haiti	2011-06-09	2013-07-29	ILLUMINA	WGS	9800144
SRR773028	SAMN01940987	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	4111695
SRR773103	SAMN01940987	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	2197920
SRR773104	SAMN01940988	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	8850476
SRR773105	SAMN01940988	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	4453638
SRR773107	SAMN01940989	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	9706108
SRR773108	SAMN01940989	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	5487720
SRR773175	SAMN01940990	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	6849702
SRR773176	SAMN01940990	PRJNA188139	Haiti	2011-09-02	2013-07-29	ILLUMINA	WGS	4079016
SRR773179	SAMN01940991	PRJNA188139	Haiti	2011-09-12	2013-07-29	ILLUMINA	WGS	6011585
SRR773181	SAMN01940991	PRJNA188139	Haiti	2011-09-12	2013-07-29	ILLUMINA	WGS	1825020
SRR773184	SAMN01940992	PRJNA188139	Haiti	2011-10-11	2013-07-29	ILLUMINA	WGS	2666520
SRR773315	SAMN01940992	PRJNA188139	Haiti	2011-10-11	2013-07-29	ILLUMINA	WGS	6379310
SRR773316	SAMN01940992	PRJNA188139	Haiti	2011-10-11	2013-07-29	ILLUMINA	WGS	3124448
SRR773317	SAMN01940993	PRJNA188139	Haiti	2011-10-11	2013-07-29	ILLUMINA	WGS	8180567
SRR773319	SAMN01940993	PRJNA188139	Haiti	2011-10-11	2013-07-29	ILLUMINA	WGS	6078422
SRR773321	SAMN01940994	PRJNA188139	Haiti	2011-10-12	2013-07-29	ILLUMINA	WGS	10761946
SRR773322	SAMN01940994	PRJNA188139	Haiti	2011-10-12	2013-07-29	ILLUMINA	WGS	9231548
SRR773389	SAMN01940995	PRJNA188139	Haiti	2011-10-12	2013-07-29	ILLUMINA	WGS	9231548
SRR773390	SAMN01940995	PRJNA188139	Haiti	2011-10-12	2013-07-29	ILLUMINA	WGS	2443306
SRR773392	SAMN01940996	PRJNA188139	Haiti	2011-10-12	2013-07-29	ILLUMINA	WGS	3718662
SRR773393	SAMN01940996	PRJNA188139	Haiti	2011-10-12	2013-07-29	ILLUMINA	WGS	6302168
SRR773394	SAMN01940996	PRJNA188139	Haiti	2011-10-12	2013-07-29	ILLUMINA	WGS	1862621
SRR1267422	SAMN02741837	PRJNA245985	Haiti	2012	2014-11-10	ILLUMINA	WGS	362841
SRR1267526	SAMN02741837	PRJNA245985	Haiti	2012	2014-11-10	ILLUMINA	WGS	1924037
SRR773397	SAMN01940997	PRJNA188139	Haiti	2012-03-13	2013-07-29	ILLUMINA	WGS	9377209
SRR14297606	SAMN18822001	PRJNA723557	Haiti	2013	2021-09-30	ILLUMINA	WGS	1041690
SRR14297607	SAMN18822002	PRJNA723557	Haiti	2013	2021-09-30	ILLUMINA	WGS	1140892
SRR14297608	SAMN18822003	PRJNA723557	Haiti	2013	2021-09-30	ILLUMINA	WGS	1565678
SRR14297609	SAMN18822004	PRJNA723557	Haiti	2013	2021-09-30	ILLUMINA	WGS	1923993
SRR5986048	SAMN07569288	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	3631957
SRR5986049	SAMN07569287	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	877467
SRR5986052	SAMN07569290	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	946743
SRR5986053	SAMN07569289	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	1049786
SRR5986088	SAMN07569295	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	3587343
SRR5986089	SAMN07569296	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	3693592
SRR5986090	SAMN07569293	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	2580425
SRR5986091	SAMN07569294	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	3326790
SRR5986092	SAMN07569291	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	929014
SRR5986093	SAMN07569292	PRJNA400505	Haiti	2013-04-18	2017-11-09	ILLUMINA	WGS	1084320
SRR5986084	SAMN07569299	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	520484
SRR5986085	SAMN07569300	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	1168659
SRR5986086	SAMN07569297	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	1316535
SRR5986087	SAMN07569298	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	3962228
SRR5986114	SAMN07569310	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	3903778
SRR5986115	SAMN07569309	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	4353334
SRR5986116	SAMN07569306	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	3370326
SRR5986117	SAMN07569305	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	3911595
SRR5986118	SAMN07569308	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	4024962
SRR5986119	SAMN07569307	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	736217
SRR5986120	SAMN07569302	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	2379006
SRR5986121	SAMN07569301	PRJNA400505	Haiti	2013-04-22	2017-11-09	ILLUMINA	WGS	1747064
